Dates:,CA,TX,FL,NY,PA,IL,OH,GA,NC,MI,NJ,VA,WA,AZ,MA,TN,IN,MO,MD,WI,CO,MN,SC,AL,LA,KY,OR,OK,CT,UT,PR,IA,NV,AR,MS,KS,NM,NE,WV,ID,HI,NH,ME,MT,RI,DE,SD,ND,AK,DC,VT,WY
160,2782.0,1666.142857142857,1250.4285714285713,822.7142857142857,481.85714285714283,938.2857142857143,388.85714285714283,732.2857142857143,1073.5714285714287,119.0,483.7142857142857,684.4285714285714,327.7142857142857,1215.857142857143,320.61956521739194,488.2857142857143,378.85714285714283,190.42857142857142,619.8571428571429,321.14285714285717,183.85714285714286,304.0,490.85714285714283,539.0,415.7142857142857,177.14285714285714,94.42857142857143,102.71428571428571,174.57142857142858,348.42857142857144,11.571428571428571,304.7142857142857,187.0,392.7142857142857,274.7142857142857,91.71428571428571,144.85714285714286,165.57142857142858,17.142857142857142,38.57142857142857,4.571428571428571,47.57142857142857,31.571428571428573,3.4285714285714284,75.14285714285714,51.42857142857143,59.714285714285715,39.142857142857146,14.0,67.0,11.857142857142858,12.571428571428571
161,2726.0,1723.857142857143,1338.2857142857142,786.5714285714286,427.7142857142857,877.7142857142857,380.85714285714283,737.4285714285714,1142.0,121.57142857142857,419.57142857142856,668.4285714285714,326.14285714285717,1226.5714285714287,306.0481366459634,515.1428571428571,366.85714285714283,190.28571428571428,549.0,313.7142857142857,172.42857142857142,253.57142857142858,531.0,617.5714285714286,429.42857142857144,138.28571428571428,109.0,134.42857142857142,175.57142857142858,332.14285714285717,16.142857142857142,312.14285714285717,201.42857142857142,413.7142857142857,333.14285714285717,93.42857142857143,122.0,171.14285714285714,16.285714285714285,35.42857142857143,5.285714285714286,42.57142857142857,34.142857142857146,4.571428571428571,71.71428571428571,57.142857142857146,66.42857142857143,38.57142857142857,14.428571428571429,65.0,13.0,13.428571428571429
162,2803.8571428571427,1779.7142857142858,1514.2857142857142,759.1428571428571,393.7142857142857,834.5714285714286,391.0,784.5714285714286,1150.142857142857,131.71428571428572,403.0,638.8571428571429,336.57142857142856,1286.7142857142858,271.90527950310417,495.7142857142857,363.7142857142857,195.42857142857142,546.1428571428571,307.42857142857144,167.0,230.28571428571428,577.0,651.1428571428571,542.4285714285714,165.42857142857142,115.28571428571429,152.85714285714286,168.0,311.85714285714283,14.285714285714286,319.85714285714283,212.28571428571428,349.42857142857144,368.42857142857144,93.42857142857143,117.28571428571429,162.0,18.285714285714285,34.57142857142857,6.0,40.0,33.285714285714285,6.857142857142857,69.0,54.857142857142854,66.57142857142857,34.42857142857143,16.428571428571427,62.857142857142854,11.285714285714286,15.857142857142858
163,2863.285714285714,1839.4285714285713,1620.142857142857,746.7142857142857,369.42857142857144,806.7142857142857,381.7142857142857,826.1428571428571,1224.7142857142858,155.0,404.42857142857144,546.4285714285714,336.14285714285717,1257.4285714285713,258.19099378881845,578.7142857142857,358.85714285714283,179.57142857142858,532.5714285714286,304.0,161.28571428571428,211.85714285714286,644.1428571428571,730.7142857142857,543.2857142857143,165.42857142857142,124.71428571428571,154.42857142857142,160.0,321.0,15.285714285714286,322.7142857142857,217.71428571428572,439.2857142857143,320.85714285714283,93.42857142857143,111.85714285714286,155.71428571428572,20.714285714285715,37.142857142857146,7.142857142857143,39.285714285714285,31.857142857142858,8.0,66.57142857142857,46.0,65.71428571428571,31.285714285714285,16.571428571428573,62.142857142857146,9.142857142857142,16.142857142857142
164,2876.1428571428573,1927.4285714285713,1724.5714285714287,735.0,365.42857142857144,676.8571428571429,391.2857142857143,845.2857142857143,1231.142857142857,140.14285714285714,388.57142857142856,519.2857142857143,340.42857142857144,1289.5714285714287,243.47670807453272,602.2857142857143,401.0,207.85714285714286,518.2857142857143,301.7142857142857,159.42857142857142,179.57142857142858,654.0,763.8571428571429,588.8571428571429,167.28571428571428,118.28571428571429,173.14285714285714,163.28571428571428,326.57142857142856,14.857142857142858,295.14285714285717,213.28571428571428,453.85714285714283,290.14285714285717,109.85714285714286,111.85714285714286,155.85714285714286,20.714285714285715,37.142857142857146,7.571428571428571,38.0,31.714285714285715,8.714285714285714,71.0,52.57142857142857,65.28571428571429,31.714285714285715,14.428571428571429,58.57142857142857,7.571428571428571,17.0
165,2867.285714285714,2279.0,1943.5714285714287,727.5714285714286,346.7142857142857,652.0,406.85714285714283,832.7142857142857,1241.857142857143,157.42857142857142,393.0,513.2857142857143,344.14285714285717,1543.0,233.762422360247,607.8571428571429,393.2857142857143,214.42857142857142,500.7142857142857,301.42857142857144,156.42857142857142,145.14285714285714,680.2857142857143,784.2857142857143,584.8571428571429,160.14285714285714,128.28571428571428,183.14285714285714,167.14285714285714,339.7142857142857,13.285714285714286,277.57142857142856,232.57142857142858,444.42857142857144,340.57142857142856,109.85714285714286,118.28571428571429,157.0,24.571428571428573,39.0,8.571428571428571,33.142857142857146,30.428571428571427,8.571428571428571,68.71428571428571,54.714285714285715,63.285714285714285,31.857142857142858,14.714285714285714,49.142857142857146,6.857142857142857,17.0
166,2974.8571428571427,2368.285714285714,2112.8571428571427,712.2857142857143,336.0,640.7142857142857,406.7142857142857,864.2857142857143,1240.5714285714287,187.85714285714286,355.85714285714283,514.0,345.57142857142856,1581.7142857142858,233.61956521738986,583.1428571428571,382.2857142857143,205.42857142857142,500.57142857142856,294.14285714285717,167.71428571428572,156.71428571428572,685.2857142857143,760.4285714285714,657.7142857142857,158.85714285714286,158.57142857142858,203.42857142857142,154.57142857142858,354.2857142857143,12.0,272.85714285714283,239.71428571428572,462.57142857142856,308.2857142857143,124.14285714285714,116.42857142857143,164.0,26.857142857142858,45.714285714285715,8.285714285714286,36.857142857142854,28.428571428571427,9.857142857142858,61.142857142857146,55.42857142857143,63.714285714285715,31.714285714285715,14.714285714285714,44.285714285714285,5.285714285714286,19.142857142857142
167,3116.8571428571427,2609.714285714286,2259.285714285714,695.4285714285714,329.0,616.0,445.42857142857144,848.4285714285714,1243.857142857143,192.71428571428572,347.57142857142856,513.0,357.7142857142857,1739.857142857143,199.33385093167558,613.0,384.2857142857143,216.85714285714286,433.14285714285717,307.0,179.14285714285714,179.57142857142858,729.5714285714286,765.8571428571429,594.5714285714286,178.85714285714286,165.42857142857142,246.85714285714286,139.85714285714286,369.57142857142856,13.285714285714286,273.7142857142857,239.57142857142858,444.57142857142856,308.2857142857143,124.14285714285714,112.28571428571429,171.57142857142858,29.428571428571427,53.142857142857146,8.428571428571429,34.42857142857143,30.142857142857142,13.142857142857142,58.857142857142854,56.142857142857146,63.42857142857143,30.428571428571427,13.857142857142858,44.857142857142854,3.857142857142857,19.285714285714285
168,3347.5714285714284,2803.5714285714284,2499.1428571428573,691.7142857142857,394.7142857142857,630.1428571428571,472.42857142857144,889.4285714285714,1227.2857142857142,203.57142857142858,352.85714285714283,511.7142857142857,370.42857142857144,1967.2857142857142,175.90527950310414,698.7142857142857,371.42857142857144,230.85714285714286,419.2857142857143,302.57142857142856,195.0,224.0,780.1428571428571,756.0,502.85714285714283,215.57142857142858,161.28571428571428,265.42857142857144,124.0,406.85714285714283,8.0,276.85714285714283,258.57142857142856,440.57142857142856,221.42857142857142,144.57142857142858,104.85714285714286,157.14285714285714,28.857142857142858,63.0,10.0,33.57142857142857,27.428571428571427,13.285714285714286,55.714285714285715,62.57142857142857,59.42857142857143,29.857142857142858,14.142857142857142,42.57142857142857,3.5714285714285716,20.857142857142858
169,3380.8571428571427,3103.4285714285716,2717.1428571428573,663.1428571428571,400.57142857142856,624.5714285714286,487.7142857142857,1001.1428571428571,1244.7142857142858,244.14285714285714,339.57142857142856,510.57142857142856,390.7142857142857,2191.4285714285716,168.76242236024908,700.7142857142857,359.7142857142857,254.28571428571428,378.7142857142857,319.57142857142856,190.28571428571428,286.0,833.0,706.8571428571429,443.14285714285717,169.28571428571428,170.71428571428572,280.57142857142856,103.0,441.0,10.142857142857142,254.14285714285714,283.57142857142856,513.5714285714286,184.71428571428572,144.57142857142858,115.57142857142857,154.0,32.42857142857143,74.0,11.857142857142858,31.285714285714285,25.857142857142858,15.714285714285714,53.857142857142854,64.57142857142857,56.0,27.428571428571427,13.428571428571429,39.285714285714285,3.4285714285714284,18.428571428571427
170,3567.0,3392.4285714285716,3072.0,658.8571428571429,418.85714285714283,622.5714285714286,522.8571428571429,1002.8571428571429,1240.2857142857142,236.71428571428572,344.57142857142856,498.2857142857143,409.42857142857144,2385.5714285714284,156.90527950310621,667.1428571428571,359.14285714285717,313.2857142857143,372.14285714285717,325.0,201.28571428571428,349.85714285714283,842.5714285714286,629.4285714285714,451.2857142857143,186.42857142857142,173.57142857142858,326.2857142857143,95.28571428571429,449.85714285714283,8.857142857142858,291.0,290.2857142857143,377.2857142857143,160.71428571428572,144.57142857142858,120.28571428571429,153.42857142857142,36.285714285714285,86.71428571428571,11.428571428571429,32.285714285714285,23.428571428571427,16.571428571428573,53.142857142857146,73.0,57.0,29.571428571428573,13.714285714285714,36.142857142857146,4.857142857142857,19.571428571428573
171,3800.285714285714,3681.8571428571427,3213.5714285714284,649.1428571428571,437.85714285714283,621.0,565.8571428571429,1073.4285714285713,1214.7142857142858,267.42857142857144,352.57142857142856,511.2857142857143,426.85714285714283,2554.4285714285716,165.76242236024908,627.5714285714286,314.7142857142857,279.14285714285717,367.2857142857143,333.14285714285717,200.85714285714286,362.0,903.2857142857143,597.4285714285714,438.14285714285717,170.28571428571428,185.85714285714286,330.85714285714283,78.14285714285714,471.14285714285717,9.0,285.42857142857144,322.2857142857143,452.2857142857143,355.42857142857144,149.42857142857142,121.28571428571429,155.0,36.285714285714285,86.71428571428571,12.285714285714286,30.428571428571427,23.0,18.714285714285715,50.714285714285715,68.57142857142857,56.857142857142854,30.0,14.142857142857142,37.0,5.285714285714286,21.571428571428573
172,4216.142857142857,3880.5714285714284,3371.714285714286,644.2857142857143,459.0,617.8571428571429,588.1428571428571,1228.5714285714287,1228.5714285714287,275.42857142857144,353.42857142857144,523.2857142857143,434.7142857142857,2726.0,170.61956521739194,639.0,297.85714285714283,247.0,371.14285714285717,333.0,207.28571428571428,369.57142857142856,946.1428571428571,597.8571428571429,555.5714285714286,187.42857142857142,180.42857142857142,340.42857142857144,78.57142857142857,480.42857142857144,10.142857142857142,313.42857142857144,334.14285714285717,498.14285714285717,392.2857142857143,149.42857142857142,129.28571428571428,158.0,34.42857142857143,113.14285714285714,11.428571428571429,29.571428571428573,25.0,18.428571428571427,54.285714285714285,63.42857142857143,55.285714285714285,27.714285714285715,14.571428571428571,39.42857142857143,5.142857142857143,23.571428571428573
173,4743.857142857143,4226.571428571428,3806.5714285714284,646.2857142857143,481.85714285714283,642.0,619.5714285714286,1335.857142857143,1331.2857142857142,294.0,337.57142857142856,534.1428571428571,463.85714285714283,2721.4285714285716,157.19099378882052,727.4285714285714,303.85714285714283,320.42857142857144,338.2857142857143,358.85714285714283,211.71428571428572,352.42857142857144,1048.7142857142858,678.8571428571429,549.0,195.42857142857142,168.0,372.2857142857143,69.14285714285714,491.42857142857144,13.0,320.57142857142856,392.85714285714283,538.4285714285714,397.57142857142856,184.14285714285714,132.14285714285714,151.57142857142858,36.142857142857146,123.14285714285714,11.285714285714286,23.142857142857142,25.857142857142858,19.428571428571427,54.285714285714285,63.57142857142857,52.714285714285715,28.0,13.714285714285714,40.142857142857146,8.0,24.0
174,4924.571428571428,4580.857142857143,4134.714285714285,665.0,504.85714285714283,685.0,647.0,1454.7142857142858,1285.0,313.0,322.7142857142857,529.7142857142857,481.85714285714283,2798.1428571428573,150.76242236024908,743.5714285714286,316.7142857142857,359.0,364.0,359.2857142857143,225.42857142857142,349.7142857142857,1067.7142857142858,714.2857142857143,683.0,202.85714285714286,175.14285714285714,370.57142857142856,79.14285714285714,505.0,11.857142857142858,334.7142857142857,486.14285714285717,590.5714285714286,553.5714285714286,184.14285714285714,148.42857142857142,142.14285714285714,34.714285714285715,144.71428571428572,13.0,26.857142857142858,27.428571428571427,21.142857142857142,50.57142857142857,68.71428571428571,52.857142857142854,28.428571428571427,15.428571428571429,36.57142857142857,8.142857142857142,26.0
175,5006.428571428572,4902.714285714285,4920.571428571428,666.2857142857143,515.4285714285714,696.2857142857143,701.0,1569.4285714285713,1282.5714285714287,318.85714285714283,324.0,539.5714285714286,512.7142857142857,2837.0,151.4767080745348,775.2857142857143,342.0,387.57142857142856,366.7142857142857,393.57142857142856,229.85714285714286,369.2857142857143,1100.5714285714287,740.1428571428571,893.4285714285714,200.71428571428572,171.71428571428572,376.7142857142857,71.71428571428571,517.8571428571429,12.0,344.42857142857144,482.0,490.14285714285717,632.1428571428571,211.28571428571428,164.0,133.0,39.57142857142857,160.28571428571428,12.571428571428571,26.428571428571427,27.0,23.285714285714285,52.0,58.0,53.857142857142854,27.857142857142858,15.714285714285714,33.285714285714285,8.0,27.857142857142858
